subaward_number,prime_award_piid,prime_award_parent_piid,subaward_amount,subaward_action_date,subaward_report_year,subaward_report_month,prime_awarding_agency_code,prime_awarding_agency_name,prime_awarding_sub_agency_code,prime_awarding_sub_agency_name,prime_awarding_office_code,prime_awarding_office_name,prime_award_principal_place_city,prime_award_principal_place_state,prime_award_principal_place_zip,prime_award_principal_place_country,prime_awardee_duns,prime_awardee_name,prime_award_date_signed,prime_award_amount,subawardee_duns,subawardee_name,subawardee_dba_name,subawardee_parent_duns,subawardee_parent_name,subawardee_address_line_1,subawardee_city_name,subawardee_state_code,subawardee_state_name,subawardee_zip_4,subawardee_congressional_district,subawardee_country_code,subawardee_country_name,subawardee_foreign_postal_code,subaward_primary_place_of_performance_address_line_1,subaward_primary_place_of_performance_city_name,subaward_primary_place_of_performance_state_code,subaward_primary_place_of_performance_state_name,subaward_primary_place_of_performance_address_zip_4,subaward_primary_place_of_performance_congressional_district,subaward_primary_place_of_performance_country_code,subaward_primary_place_of_performance_country_name,subaward_description,subaward_naics_code,subaward_naics_description,subawardee_business_type_code,subawardee_business_type_description,highly_compensated_officer_1_name,highly_compensated_officer_1_amount,highly_compensated_officer_2_name,highly_compensated_officer_2_amount,highly_compensated_officer_3_name,highly_compensated_officer_3_amount,highly_compensated_officer_4_name,highly_compensated_officer_4_amount,highly_compensated_officer_5_name,highly_compensated_officer_5_amount
7500013387,TIRNO11D000410021,TIRNO11D00041,3830821.00,2016-10-07,2016,10,020,DEPARTMENT OF THE TREASURY (TREAS),2050,INTERNAL REVENUE SERVICE,2032H5,NATIONAL OFFICE - PROCUREMENT OITA,RESTON,VA,201905658,USA,139727148,ACCENTURE FEDERAL SERVICES LLC,2015-03-27,109341112.85,088365767,CARAHSOFT TECHNOLOGY CORP.,,,,"1860 MICHAEL FARADAY DR, SUITE 100",RESTON,VA,,201905328,08,USA,UNITED STATES,,,ARLINGTON,VA,,222092443,08,USA,UNITED STATES,TRIPWIRE ENTERPRISE CONSOLE - MYSQL -,541512,COMPUTER SYSTEMS DESIGN SERVICES,,"CONTRACTS AND GRANTS,FOR-PROFIT ORGANIZATION",,,,,,,,,,
7500013372,TIRNO11D000410021,TIRNO11D00041,3830821.00,2016-10-06,2016,10,020,DEPARTMENT OF THE TREASURY (TREAS),2050,INTERNAL REVENUE SERVICE,2032H5,NATIONAL OFFICE - PROCUREMENT OITA,RESTON,VA,201905658,USA,139727148,ACCENTURE FEDERAL SERVICES LLC,2015-03-27,109341112.85,088365767,CARAHSOFT TECHNOLOGY CORP.,,,,"1860 MICHAEL FARADAY DR, SUITE 100",RESTON,VA,,201905328,08,USA,UNITED STATES,,,ARLINGTON,VA,,222092443,08,USA,UNITED STATES,"RENEWAL - JBOSS ENTERPRISE APPLICATION PLATFORM, MANAGED, 16",541512,COMPUTER SYSTEMS DESIGN SERVICES,,"CONTRACTS AND GRANTS,FOR-PROFIT ORGANIZATION",,,,,,,,,,
7500013356,TIRNO11D000410019,TIRNO11D00041,3830821.00,2016-10-05,2016,10,020,DEPARTMENT OF THE TREASURY (TREAS),2050,INTERNAL REVENUE SERVICE,2032H5,NATIONAL OFFICE - PROCUREMENT OITA,RESTON,VA,201905658,USA,139727148,ACCENTURE FEDERAL SERVICES LLC,2014-10-01,25661187.00,088365767,CARAHSOFT TECHNOLOGY CORP.,,,,"1860 MICHAEL FARADAY DR, SUITE 100",RESTON,VA,,201905328,08,USA,UNITED STATES,,,ARLINGTON,VA,,222032151,08,USA,UNITED STATES,TRIPWIRE ENTERPRISE FOR FILE SYSTEMS (1-16,541512,COMPUTER SYSTEMS DESIGN SERVICES,,"CONTRACTS AND GRANTS,FOR-PROFIT ORGANIZATION",,,,,,,,,,
7500013358,TIRNO11D000410019,TIRNO11D00041,3830821.00,2016-10-05,2016,10,020,DEPARTMENT OF THE TREASURY (TREAS),2050,INTERNAL REVENUE SERVICE,2032H5,NATIONAL OFFICE - PROCUREMENT OITA,RESTON,VA,201905658,USA,139727148,ACCENTURE FEDERAL SERVICES LLC,2014-10-01,25661187.00,088365767,CARAHSOFT TECHNOLOGY CORP.,,,,"1860 MICHAEL FARADAY DR, SUITE 100",RESTON,VA,,201905328,08,USA,UNITED STATES,,,ARLINGTON,VA,,222032151,08,USA,UNITED STATES,RENEWAL - JBOSS ENTERPRISE APPLICATION,541512,COMPUTER SYSTEMS DESIGN SERVICES,,"CONTRACTS AND GRANTS,FOR-PROFIT ORGANIZATION",,,,,,,,,,
7500013373,TIRNO11D000410021,TIRNO11D00041,3830821.00,2016-10-06,2016,10,020,DEPARTMENT OF THE TREASURY (TREAS),2050,INTERNAL REVENUE SERVICE,2032H5,NATIONAL OFFICE - PROCUREMENT OITA,RESTON,VA,201905658,USA,139727148,ACCENTURE FEDERAL SERVICES LLC,2015-03-27,109341112.85,088365767,CARAHSOFT TECHNOLOGY CORP.,,,,"1860 MICHAEL FARADAY DR, SUITE 100",RESTON,VA,,201905328,08,USA,UNITED STATES,,,ARLINGTON,VA,,222092443,08,USA,UNITED STATES,TRIPWIRE ENTERPRISE CONSOLE - MYSQL -,541512,COMPUTER SYSTEMS DESIGN SERVICES,,"CONTRACTS AND GRANTS,FOR-PROFIT ORGANIZATION",,,,,,,,,,
7500013392,TIRNO11D000410021,TIRNO11D00041,3830821.00,2016-10-07,2016,10,020,DEPARTMENT OF THE TREASURY (TREAS),2050,INTERNAL REVENUE SERVICE,2032H5,NATIONAL OFFICE - PROCUREMENT OITA,RESTON,VA,201905658,USA,139727148,ACCENTURE FEDERAL SERVICES LLC,2015-03-27,109341112.85,088365767,CARAHSOFT TECHNOLOGY CORP.,,,,"1860 MICHAEL FARADAY DR, SUITE 100",RESTON,VA,,201905328,08,USA,UNITED STATES,,,ARLINGTON,VA,,222092443,08,USA,UNITED STATES,"RENEWAL - JBOSS ENTERPRISE APPLICATION PLATFORM, MANAGED, 16",541512,COMPUTER SYSTEMS DESIGN SERVICES,,"CONTRACTS AND GRANTS,FOR-PROFIT ORGANIZATION",,,,,,,,,,
7500013522,TIRNO11D000410021,TIRNO11D00041,3830821.00,2016-10-27,2016,10,020,DEPARTMENT OF THE TREASURY (TREAS),2050,INTERNAL REVENUE SERVICE,2032H5,NATIONAL OFFICE - PROCUREMENT OITA,RESTON,VA,201905658,USA,139727148,ACCENTURE FEDERAL SERVICES LLC,2015-03-27,109341112.85,088365767,CARAHSOFT TECHNOLOGY CORP.,,,,"1860 MICHAEL FARADAY DR, SUITE 100",RESTON,VA,,201905328,08,USA,UNITED STATES,,,ARLINGTON,VA,,222092443,08,USA,UNITED STATES,SPLUNK APP FOR MICROSOFT EXCHANGE - TERM LICENSE WITH,541512,COMPUTER SYSTEMS DESIGN SERVICES,,"CONTRACTS AND GRANTS,FOR-PROFIT ORGANIZATION",,,,,,,,,,
7500020101,TIRNO17D000040003,TIRNO17D00004,3689657.00,2018-09-26,2018,9,020,DEPARTMENT OF THE TREASURY (TREAS),2050,INTERNAL REVENUE SERVICE,2032H8,NATIONAL OFFICE - PROCUREMENT OBO,ARLINGTON,VA,222031807,USA,139727148,ACCENTURE FEDERAL SERVICES LLC,2017-09-30,49768666.21,088365767,CARAHSOFT TECHNOLOGY CORP.,,,,"1860 MICHAEL FARADAY DR, SUITE 100",RESTON,VA,VIRGINIA,201905328,08,USA,UNITED STATES,,,ARLINGTON,VA,VIRGINIA,222031665,08,USA,UNITED STATES,U.S. FEDERAL VSPP PREPAY RENTAL - 12 MONTH,541512,COMPUTER SYSTEMS DESIGN SERVICES,,FOR-PROFIT ORGANIZATION,,,,,,,,,,
13-125-TIRNO11D00007-HASC,TIRNO11D000070005,TIRNO11D00007,4727470.00,2016-10-26,2016,10,020,DEPARTMENT OF THE TREASURY (TREAS),2050,INTERNAL REVENUE SERVICE,2032H5,NATIONAL OFFICE - PROCUREMENT OITA,WASHINGTON,DC,202200006,USA,858485758,ACCENTURE LLP,2013-09-26,81232136.63,793655270,"HILL ASC, INC.",,,,1 RESEARCH CT STE 450,ROCKVILLE,MD,,208506252,08,USA,UNITED STATES,,,WASHINGTON,DC,,200064502,AL,USA,UNITED STATES,DEVELOP AND MAINTAIN PROJECT DOCUMENTATION,541519,OTHER COMPUTER RELATED SERVICES,,"CONTRACTS AND GRANTS,FOR-PROFIT ORGANIZATION,S CORPORATION",,,,,,,,,,
7500020065,TIRNO17D000040003,TIRNO17D00004,3689657.00,2018-09-24,2018,9,020,DEPARTMENT OF THE TREASURY (TREAS),2050,INTERNAL REVENUE SERVICE,2032H8,NATIONAL OFFICE - PROCUREMENT OBO,ARLINGTON,VA,222031807,USA,139727148,ACCENTURE FEDERAL SERVICES LLC,2017-09-30,49768666.21,088365767,CARAHSOFT TECHNOLOGY CORP.,,,,"1860 MICHAEL FARADAY DR, SUITE 100",RESTON,VA,VIRGINIA,201905328,08,USA,UNITED STATES,,,ARLINGTON,VA,VIRGINIA,222031665,08,USA,UNITED STATES,HIGH AVAILABILITY FOR RED HAT ENTERPRISE,541512,COMPUTER SYSTEMS DESIGN SERVICES,,FOR-PROFIT ORGANIZATION,,,,,,,,,,
7500013397,TIRNO11D000410021,TIRNO11D00041,3830821.00,2016-10-07,2016,10,020,DEPARTMENT OF THE TREASURY (TREAS),2050,INTERNAL REVENUE SERVICE,2032H5,NATIONAL OFFICE - PROCUREMENT OITA,RESTON,VA,201905658,USA,139727148,ACCENTURE FEDERAL SERVICES LLC,2015-03-27,109341112.85,088365767,CARAHSOFT TECHNOLOGY CORP.,,,,"1860 MICHAEL FARADAY DR, SUITE 100",RESTON,VA,,201905328,08,USA,UNITED STATES,,,ARLINGTON,VA,,222092443,08,USA,UNITED STATES,"RENEWAL - JBOSS ENTERPRISE APPLICATION PLATFORM, MANAGED, 16",541512,COMPUTER SYSTEMS DESIGN SERVICES,,"CONTRACTS AND GRANTS,FOR-PROFIT ORGANIZATION",,,,,,,,,,
7500020103,2032H518F00355,TIRNO17D00004,3689657.00,2018-09-26,2018,9,020,DEPARTMENT OF THE TREASURY (TREAS),2050,INTERNAL REVENUE SERVICE,2032H5,NATIONAL OFFICE - PROCUREMENT OITA,ARLINGTON,VA,222031551,USA,139727148,ACCENTURE FEDERAL SERVICES LLC,2018-03-30,5377195.41,088365767,CARAHSOFT TECHNOLOGY CORP.,,,,"1860 MICHAEL FARADAY DR, SUITE 100",RESTON,VA,VIRGINIA,201905328,08,USA,UNITED STATES,,,ARLINGTON,VA,VIRGINIA,222031665,08,USA,UNITED STATES,SPLUNK APP FOR MICROSOFT EXCHANGE - 100GB/DAY,541512,COMPUTER SYSTEMS DESIGN SERVICES,,FOR-PROFIT ORGANIZATION,,,,,,,,,,
7500148476,TIRNO11D000270011,TIRNO11D00027,3158646.00,2016-12-29,2018,9,020,DEPARTMENT OF THE TREASURY (TREAS),2050,INTERNAL REVENUE SERVICE,2032H5,NATIONAL OFFICE - PROCUREMENT OITA,LANHAM,MD,207061348,USA,962048646,NORTHROP GRUMMAN SYSTEMS CORPORATION,2013-09-19,54695339.94,829977508,"SKYEPOINT DECISIONS, INC.",,,,45240 BUSINESS CT STE 160,DULLES,VA,VIRGINIA,201666703,10,USA,UNITED STATES,,,STERLING,VA,VIRGINIA,201666703,10,USA,UNITED STATES,ENGINEERING AND RESEARCH AND TECHNOLOGY BASED SERVICES,541519,OTHER COMPUTER RELATED SERVICES,,"FOR-PROFIT ORGANIZATION,S CORPORATION",,,,,,,,,,
7500147970,TIRNO11D000270009,TIRNO11D00027,2730071.00,2016-12-29,2018,8,020,DEPARTMENT OF THE TREASURY (TREAS),2050,INTERNAL REVENUE SERVICE,2032H8,NATIONAL OFFICE - PROCUREMENT OBO,LANHAM,MD,207061348,USA,962048646,NORTHROP GRUMMAN SYSTEMS CORPORATION,2013-04-26,135633425.65,829977508,"SKYEPOINT DECISIONS, INC.",,,,45240 BUSINESS CT STE 160,DULLES,VA,VIRGINIA,201666703,10,USA,UNITED STATES,,,STERLING,VA,VIRGINIA,201666703,10,USA,UNITED STATES,ENGINEERING AND RESEARCH AND TECHNOLOGY BASED SERVICES,541519,OTHER COMPUTER RELATED SERVICES,,"FOR-PROFIT ORGANIZATION,S CORPORATION",,,,,,,,,,
7500147970,TIRNO11D000270009,TIRNO11D00027,2730071.00,2016-12-29,2018,9,020,DEPARTMENT OF THE TREASURY (TREAS),2050,INTERNAL REVENUE SERVICE,2032H8,NATIONAL OFFICE - PROCUREMENT OBO,LANHAM,MD,207061348,USA,962048646,NORTHROP GRUMMAN SYSTEMS CORPORATION,2013-04-26,135633425.65,829977508,"SKYEPOINT DECISIONS, INC.",,,,45240 BUSINESS CT STE 160,DULLES,VA,VIRGINIA,201666703,10,USA,UNITED STATES,,,STERLING,VA,VIRGINIA,201666703,10,USA,UNITED STATES,ENGINEERING AND RESEARCH AND TECHNOLOGY BASED SERVICES,541519,OTHER COMPUTER RELATED SERVICES,,"FOR-PROFIT ORGANIZATION,S CORPORATION",,,,,,,,,,
