award_id_fain,modification_number,award_id_uri,sai_number,federal_action_obligation,non_federal_funding_amount,total_funding_amount,face_value_of_loan,original_subsidy_cost,total_subsidy_cost,total_loan_value,action_date,period_of_performance_start_date,period_of_performance_current_end_date,awarding_agency_code,awarding_agency_name,awarding_sub_agency_code,awarding_sub_agency_name,awarding_office_code,awarding_office_name,funding_agency_code,funding_agency_name,funding_sub_agency_code,funding_sub_agency_name,funding_office_code,funding_office_name,recipient_duns,recipient_name,recipient_parent_name,recipient_parent_duns,recipient_country_code,recipient_country_name,recipient_address_line_1,recipient_address_line_2,recipient_city_code,recipient_city_name,recipient_county_code,recipient_county_name,recipient_state_code,recipient_state_name,recipient_zip_code,recipient_zip_last_4_code,recipient_congressional_district,recipient_foreign_city_name,recipient_foreign_province_name,recipient_foreign_postal_code,primary_place_of_performance_country_code,primary_place_of_performance_country_name,primary_place_of_performance_code,primary_place_of_performance_city_name,primary_place_of_performance_county_code,primary_place_of_performance_county_name,primary_place_of_performance_state_name,primary_place_of_performance_zip_4,primary_place_of_performance_congressional_district,primary_place_of_performance_foreign_location,cfda_number,cfda_title,assistance_type_code,assistance_type_description,award_description,business_funds_indicator_code,business_funds_indicator_description,business_types_code,business_types_description,correction_delete_indicator_code,correction_delete_indicator_description,action_type_code,action_type_description,record_type_code,record_type_description,last_modified_date
181FA022943-G,,,SAI EXEMPT,1125000.00,,1125000,,,,,2018-09-19,,,020,DEPARTMENT OF THE TREASURY (TREAS),2066,COMMUNITY DEVELOPMENT FINANCIAL INSTITUTIONS FUND,,,020,DEPARTMENT OF THE TREASURY (TREAS),2066,COMMUNITY DEVELOPMENT FINANCIAL INSTITUTIONS FUND,,,062987771,KENTUCKY HIGHLANDS INVESTMENT CORPORATION,KENTUCKY HIGHLANDS INVESTMENT CORPORATION,062987771,USA,UNITED STATES,P. O. BOX 1738-362 OLD WHITLEY ROAD,"LONDON, KY 40743-1738",47476,LONDON,125,LAUREL,KY,KENTUCKY,40743,1738,05,,,,USA,UNITED STATES,00*****,,,,MULTI-STATE,,90,,21.020,COMMUNITY DEVELOPMENT FINANCIAL INSTITUTIONS PROGRAM,04,PROJECT GRANT (B),FINANCIAL ASSISTANCE AWARD,NON,NOT RECOVERY ACT,N,NONPROFIT WITHOUT 501C3 IRS STATUS (OTHER THAN AN INSTITUTION OF HIGHER EDUCATION),,,A,NEW,2,NON-AGGREGATE RECORD,2018-10-04 21:09:21.100084
181NA023141-G,,,SAI EXEMPT,450000.00,,450000,,,,,2018-09-19,,,020,DEPARTMENT OF THE TREASURY (TREAS),2066,COMMUNITY DEVELOPMENT FINANCIAL INSTITUTIONS FUND,,,020,DEPARTMENT OF THE TREASURY (TREAS),2066,COMMUNITY DEVELOPMENT FINANCIAL INSTITUTIONS FUND,,,789525586,"WISCONSIN NATIVE LOAN FUND, INC.",,,USA,UNITED STATES,P.O. BOX 580,"LAC DU FLAMBEAU, WI 54538-0580",40675,LAC DU FLAMBEAU,125,VILAS,WI,WISCONSIN,54538,0580,07,,,,USA,UNITED STATES,00*****,,,,MULTI-STATE,,90,,21.012,NATIVE INITIATIVES,04,PROJECT GRANT (B),NATIVE AMERICAN INITIATIVES AWARD,NON,NOT RECOVERY ACT,M,NONPROFIT WITH 501C3 IRS STATUS (OTHER THAN AN INSTITUTION OF HIGHER EDUCATION),,,A,NEW,2,NON-AGGREGATE RECORD,2018-10-17 17:19:08.089821
17VITA0272,02,,SAI EXEMPT,-4752.05,,-4752.05,,,,,2018-09-19,2016-08-01,2018-07-31,020,DEPARTMENT OF THE TREASURY (TREAS),2050,INTERNAL REVENUE SERVICE,2031HS,WAGE AND INVESTMENT,020,DEPARTMENT OF THE TREASURY (TREAS),2050,INTERNAL REVENUE SERVICE,2031HS,WAGE AND INVESTMENT,074026857,UNITED WAY OF BUFFALO & ERIE COUNTY (INC),,,USA,UNITED STATES,742 DELAWARE AVE,,11000,BUFFALO,029,ERIE,NY,NEW YORK,14209,2202,26,,,,USA,UNITED STATES,NY*****,,,,NEW YORK,,26,,21.009,VOLUNTEER INCOME TAX ASSISTANCE (VITA) MATCHING GRANT PROGRAM,04,PROJECT GRANT (B),WESTERN NEW YORK REGIONAL VITA NETWORK,NON,NOT RECOVERY ACT,M,NONPROFIT WITH 501C3 IRS STATUS (OTHER THAN AN INSTITUTION OF HIGHER EDUCATION),,,B,CONTINUATION,2,NON-AGGREGATE RECORD,2018-10-25 15:17:16.189317
17VITA0126,02,,SAI EXEMPT,-5992.15,,-5992.15,,,,,2018-09-28,2016-08-01,2018-07-31,020,DEPARTMENT OF THE TREASURY (TREAS),2050,INTERNAL REVENUE SERVICE,2031HS,WAGE AND INVESTMENT,020,DEPARTMENT OF THE TREASURY (TREAS),2050,INTERNAL REVENUE SERVICE,2031HS,WAGE AND INVESTMENT,130072473,SOUTH SOUND OUTREACH SERVICES,,,USA,UNITED STATES,1106 MARTIN LUTHER KING JR WAY,,70000,TACOMA,053,PIERCE,WA,WASHINGTON,98405,4152,06,,,,USA,UNITED STATES,WA**053,,053,PIERCE,WASHINGTON,,06,,21.009,VOLUNTEER INCOME TAX ASSISTANCE (VITA) MATCHING GRANT PROGRAM,04,PROJECT GRANT (B),SOUND OUTREACH VITA TAX PREPARATION,NON,NOT RECOVERY ACT,M,NONPROFIT WITH 501C3 IRS STATUS (OTHER THAN AN INSTITUTION OF HIGHER EDUCATION),,,B,CONTINUATION,2,NON-AGGREGATE RECORD,2018-10-25 15:17:16.62187
17VITA0265,02,,SAI EXEMPT,-7386.42,,-7386.42,,,,,2018-09-28,2016-08-01,2018-07-31,020,DEPARTMENT OF THE TREASURY (TREAS),2050,INTERNAL REVENUE SERVICE,2031HS,WAGE AND INVESTMENT,020,DEPARTMENT OF THE TREASURY (TREAS),2050,INTERNAL REVENUE SERVICE,2031HS,WAGE AND INVESTMENT,809934011,"CENTRAL TEXAS OPPORTUNITIES, INC","CENTRAL TEXAS OPPORTUNITIES, INC",809934011,USA,UNITED STATES,118 W PECAN ST STE 405,,15916,COLEMAN,083,COLEMAN,TX,TEXAS,76834,4155,11,,,,USA,UNITED STATES,TX*****,,,,TEXAS,,11,,21.009,VOLUNTEER INCOME TAX ASSISTANCE (VITA) MATCHING GRANT PROGRAM,04,PROJECT GRANT (B),"CENTRAL TEXAS OPPORTUNITIES, INC. VITA PROGRAM APPLICATION",NON,NOT RECOVERY ACT,M,NONPROFIT WITH 501C3 IRS STATUS (OTHER THAN AN INSTITUTION OF HIGHER EDUCATION),,,B,CONTINUATION,2,NON-AGGREGATE RECORD,2018-10-25 15:17:16.214655
17VITA0264,02,,SAI EXEMPT,-1.43,,-1.43,,,,,2018-09-28,2016-08-01,2018-07-31,020,DEPARTMENT OF THE TREASURY (TREAS),2050,INTERNAL REVENUE SERVICE,2031HS,WAGE AND INVESTMENT,020,DEPARTMENT OF THE TREASURY (TREAS),2050,INTERNAL REVENUE SERVICE,2031HS,WAGE AND INVESTMENT,102794005,SAN JUAN COLLEGE,SAN JUAN COLLEGE,102794005,USA,UNITED STATES,4601 COLLEGE BLVD,,25800,FARMINGTON,045,SAN JUAN,NM,NEW MEXICO,87402,4609,03,,,,USA,UNITED STATES,NM**045,,045,SAN JUAN,NEW MEXICO,,03,,21.009,VOLUNTEER INCOME TAX ASSISTANCE (VITA) MATCHING GRANT PROGRAM,04,PROJECT GRANT (B),SJC VITA PROGRAM,NON,NOT RECOVERY ACT,H,PUBLIC/STATE CONTROLLED INSTITUTION OF HIGHER EDUCATION,,,B,CONTINUATION,2,NON-AGGREGATE RECORD,2018-10-25 15:17:16.248821
RCEGR260003,2,,,0.00,0.00,0,,,,,2018-09-28,2015-11-01,2020-10-31,020,DEPARTMENT OF THE TREASURY (TREAS),2001,DEPARTMENTAL OFFICES,203405,FISCAL SERVICE - DO,020,DEPARTMENT OF THE TREASURY (TREAS),2001,DEPARTMENTAL OFFICES,,,114376135,COASTAL PROTECTION AND RESTORATION AUTHORITY OF LOUISIANA,"LOUISIANA, STATE OF",061238911,USA,UNITED STATES,150 TERRACE AVE FL 3,,05000,BATON ROUGE,033,EAST BATON ROUGE,LA,LOUISIANA,70802,8079,02,,,,USA,UNITED STATES,LA*****,,,,LOUISIANA,,90,,21.015,"RESOURCES AND ECOSYSTEMS SUSTAINABILITY, TOURIST OPPORTUNITIES, AND REVIVED ECONOMIES OF THE GULF COAST STATES",03,FORMULA GRANT (A),"RESTORE ACT CENTERS OF EXCELLENCE RESEARCH GRANT PROGRAM FINANCIAL ASSISTANCE APPLICATION, STATE OF LOUISIANA",NON,NOT RECOVERY ACT,A,STATE GOVERNMENT,,,C,REVISION,2,NON-AGGREGATE RECORD,2018-10-03 18:35:04.920242
181FA023246-G,,,SAI EXEMPT,850000.00,,850000,,,,,2018-09-19,,,020,DEPARTMENT OF THE TREASURY (TREAS),2066,COMMUNITY DEVELOPMENT FINANCIAL INSTITUTIONS FUND,,,020,DEPARTMENT OF THE TREASURY (TREAS),2066,COMMUNITY DEVELOPMENT FINANCIAL INSTITUTIONS FUND,,,103703591,"CENTURY BANCSHARES, INC.",CENTURY BANCSHARES INC,103703591,USA,UNITED STATES,PO BOX 68,"GAINESVILLE, MO 65655-0068",26218,GAINESVILLE,153,OZARK,MO,MISSOURI,65655,0068,08,,,,USA,UNITED STATES,00*****,,,,MULTI-STATE,,90,,21.020,COMMUNITY DEVELOPMENT FINANCIAL INSTITUTIONS PROGRAM,04,PROJECT GRANT (B),FINANCIAL ASSISTANCE AWARD,NON,NOT RECOVERY ACT,Q,FOR-PROFIT ORGANIZATION (OTHER THAN SMALL BUSINESS),,,A,NEW,2,NON-AGGREGATE RECORD,2018-10-04 21:20:48.929967
17VITA0073,02,,SAI EXEMPT,-5171.53,,-5171.53,,,,,2018-09-28,2016-08-01,2018-07-31,020,DEPARTMENT OF THE TREASURY (TREAS),2050,INTERNAL REVENUE SERVICE,2031HS,WAGE AND INVESTMENT,020,DEPARTMENT OF THE TREASURY (TREAS),2050,INTERNAL REVENUE SERVICE,2031HS,WAGE AND INVESTMENT,626951016,SOUTHERN BANCORP CAPITAL PARTNERS,,,USA,UNITED STATES,605 MAIN ST STE 203,,01870,ARKADELPHIA,019,CLARK,AR,ARKANSAS,71923,5968,04,,,,USA,UNITED STATES,00*****,,,,MULTI-STATE,,90,,21.009,VOLUNTEER INCOME TAX ASSISTANCE (VITA) MATCHING GRANT PROGRAM,04,PROJECT GRANT (B),VOLUNTEER INCOME TAX ASSISTANCE PROGRAM FOR ARKANSAS AND MISSISSIPPI,NON,NOT RECOVERY ACT,M,NONPROFIT WITH 501C3 IRS STATUS (OTHER THAN AN INSTITUTION OF HIGHER EDUCATION),,,B,CONTINUATION,2,NON-AGGREGATE RECORD,2018-10-25 15:17:16.693731
181NA023123-G,,,SAI EXEMPT,1220000.00,,1220000,,,,,2018-09-19,,,020,DEPARTMENT OF THE TREASURY (TREAS),2066,COMMUNITY DEVELOPMENT FINANCIAL INSTITUTIONS FUND,,,020,DEPARTMENT OF THE TREASURY (TREAS),2066,COMMUNITY DEVELOPMENT FINANCIAL INSTITUTIONS FUND,,,078728150,LAKOTA FEDERAL CREDIT UNION,,,USA,UNITED STATES,"BIA 2, ONE MAIN STREET, LAKOTA TRADE CENTER","KYLE, SD 57752-9998",34460,KYLE,102,OGLALA LAKOTA,SD,SOUTH DAKOTA,57752,9998,00,,,,USA,UNITED STATES,00*****,,,,MULTI-STATE,,90,,21.012,NATIVE INITIATIVES,04,PROJECT GRANT (B),NATIVE AMERICAN INITIATIVES AWARD,NON,NOT RECOVERY ACT,M,NONPROFIT WITH 501C3 IRS STATUS (OTHER THAN AN INSTITUTION OF HIGHER EDUCATION),,,A,NEW,2,NON-AGGREGATE RECORD,2018-10-17 17:19:08.035296
181HF022756-G,,,SAI EXEMPT,3000000.00,,3000000,,,,,2018-09-19,,,020,DEPARTMENT OF THE TREASURY (TREAS),2066,COMMUNITY DEVELOPMENT FINANCIAL INSTITUTIONS FUND,,,020,DEPARTMENT OF THE TREASURY (TREAS),2066,COMMUNITY DEVELOPMENT FINANCIAL INSTITUTIONS FUND,,,623013299,"REINVESTMENT FUND, INC., THE","REINVESTMENT FUND, INC.,THE",623013299,USA,UNITED STATES,1700 MARKET STREET-19TH FLOOR,"PHILADELPHIA, PA 19103-3109",60000,PHILADELPHIA,101,PHILADELPHIA,PA,PENNSYLVANIA,19103,3109,02,,,,USA,UNITED STATES,00*****,,,,MULTI-STATE,,90,,21.020,COMMUNITY DEVELOPMENT FINANCIAL INSTITUTIONS PROGRAM,04,PROJECT GRANT (B),HEALTHY FOODS FINANCING INITIATIVE AWARD,NON,NOT RECOVERY ACT,M,NONPROFIT WITH 501C3 IRS STATUS (OTHER THAN AN INSTITUTION OF HIGHER EDUCATION),,,A,NEW,2,NON-AGGREGATE RECORD,2018-10-04 21:21:51.205474
181FA022753-G,,,SAI EXEMPT,1275000.00,,1275000,,,,,2018-09-19,,,020,DEPARTMENT OF THE TREASURY (TREAS),2066,COMMUNITY DEVELOPMENT FINANCIAL INSTITUTIONS FUND,,,020,DEPARTMENT OF THE TREASURY (TREAS),2066,COMMUNITY DEVELOPMENT FINANCIAL INSTITUTIONS FUND,,,828482252,"THE DISABILITY FUND, INC.",,,USA,UNITED STATES,265 SUNRISE HIGHWAY-SUITE 45,"ROCKVILLE CENTRE, NY 11570-4912",63264,ROCKVILLE CENTRE,059,NASSAU,NY,NEW YORK,11570,4912,04,,,,USA,UNITED STATES,00*****,,,,MULTI-STATE,,90,,21.020,COMMUNITY DEVELOPMENT FINANCIAL INSTITUTIONS PROGRAM,04,PROJECT GRANT (B),FINANCIAL ASSISTANCE AWARD,NON,NOT RECOVERY ACT,M,NONPROFIT WITH 501C3 IRS STATUS (OTHER THAN AN INSTITUTION OF HIGHER EDUCATION),,,A,NEW,2,NON-AGGREGATE RECORD,2018-10-04 20:51:34.884166
181FA023250-G,,,SAI EXEMPT,700000.00,,700000,,,,,2018-09-19,,,020,DEPARTMENT OF THE TREASURY (TREAS),2066,COMMUNITY DEVELOPMENT FINANCIAL INSTITUTIONS FUND,,,020,DEPARTMENT OF THE TREASURY (TREAS),2066,COMMUNITY DEVELOPMENT FINANCIAL INSTITUTIONS FUND,,,786300244,OPPORTUNITY RESOURCE FUND,OPPORTUNITY RESOURCE FUND,786300244,USA,UNITED STATES,330 MARSHALL STREET-SUITE 105,"LANSING, MI 48912-2317",46000,LANSING,065,INGHAM,MI,MICHIGAN,48912,2317,08,,,,USA,UNITED STATES,00*****,,,,MULTI-STATE,,90,,21.020,COMMUNITY DEVELOPMENT FINANCIAL INSTITUTIONS PROGRAM,04,PROJECT GRANT (B),FINANCIAL ASSISTANCE AWARD,NON,NOT RECOVERY ACT,M,NONPROFIT WITH 501C3 IRS STATUS (OTHER THAN AN INSTITUTION OF HIGHER EDUCATION),,,A,NEW,2,NON-AGGREGATE RECORD,2018-10-04 21:20:48.862965
181FA022691-G,,,SAI EXEMPT,975000.00,,975000,,,,,2018-09-19,,,020,DEPARTMENT OF THE TREASURY (TREAS),2066,COMMUNITY DEVELOPMENT FINANCIAL INSTITUTIONS FUND,,,020,DEPARTMENT OF THE TREASURY (TREAS),2066,COMMUNITY DEVELOPMENT FINANCIAL INSTITUTIONS FUND,,,106756067,LAKE TRUST CREDIT UNION,LAKE TRUST CREDIT UNION,106756067,USA,UNITED STATES,4605 S. OLD US HIGHWAY 23,"BRIGHTON, MI 48114-7521",10620,BRIGHTON,093,LIVINGSTON,MI,MICHIGAN,48114,7521,08,,,,USA,UNITED STATES,00*****,,,,MULTI-STATE,,90,,21.020,COMMUNITY DEVELOPMENT FINANCIAL INSTITUTIONS PROGRAM,04,PROJECT GRANT (B),FINANCIAL ASSISTANCE AWARD,NON,NOT RECOVERY ACT,M,NONPROFIT WITH 501C3 IRS STATUS (OTHER THAN AN INSTITUTION OF HIGHER EDUCATION),,,A,NEW,2,NON-AGGREGATE RECORD,2018-10-04 20:44:39.204526
