parent_award_id,award_id_piid,Work
2033H618C00013,2033H618C00013,All Other Contracts Under $2M Annually
2033H618C00019,2033H618C00019,All Other Contracts Under $2M Annually
2033H618D00004,2033H618F00287,All Other Contracts Under $2M Annually
2033H618P00053,2033H618P00053,All Other Contracts Under $2M Annually
2033H618P00056,2033H618P00056,All Other Contracts Under $2M Annually
2033H618P00098,2033H618P00098,All Other Contracts Under $2M Annually
20340918P00108,20340918P00108,All Other Contracts Under $2M Annually
20340918P00138,20340918P00138,All Other Contracts Under $2M Annually
20340918P00143,20340918P00143,All Other Contracts Under $2M Annually
20340918P00164,20340918P00164,All Other Contracts Under $2M Annually
20341418D00001,20341418F00019,All Other Contracts Under $2M Annually
2043FY18P00355,2043FY18P00355,All Other Contracts Under $2M Annually
2043FY18P00356,2043FY18P00356,All Other Contracts Under $2M Annually
47QFDA18P0001,47QFDA18P0001,All Other Contracts Under $2M Annually
47QTCA18D001C,2032H818F00352,All Other Contracts Under $2M Annually
47QTCA18D001C,205AE918F00102,All Other Contracts Under $2M Annually
47QTCA18D002B,2033H618F00091,All Other Contracts Under $2M Annually
47QTCK18D0044,2032H518F00938,"Support Services for the User and Network Services Division to Provide Network Engineering Support Including Modeling, Common Communications Gateways, Converged Unified Communications"
GS00F0003V,TEPV1414237,All Other Contracts Under $2M Annually
GS00F0007X,TDOX14F0050A,All Other Contracts Under $2M Annually
GS00F0007X,TFSAFSA15K0095,All Other Contracts Under $2M Annually
GS00F0012Y,TCC17HQG0097,All Other Contracts Under $2M Annually
GS00F0028Y,2032H818F00381,E-Records PMO Service
GS00F0028Y,TDOXDCP160001,All Other Contracts Under $2M Annually
GS00F0028Y,TFSAFSA17K0087,All Other Contracts Under $2M Annually
GS00F0028Y,TIRNO15Z000150003,All Other Contracts Under $2M Annually
GS00F0028Y,TIRNO15Z000150004,All Other Contracts Under $2M Annually
GS00F0028Y,TIRNO15Z000150005,All Other Contracts Under $2M Annually
GS00F0028Y,TIRNO15Z000150007,All Other Contracts Under $2M Annually
GS00F0028Y,TIRNO15Z000150008,All Other Contracts Under $2M Annually
GS00F0028Y,TIRNO15Z000150009,All Other Contracts Under $2M Annually
GS00F0028Y,TIRNO15Z000150010,All Other Contracts Under $2M Annually
GS00F0028Y,TIRNO15Z000150011,All Other Contracts Under $2M Annually
GS00F0028Y,TIRNO15Z000150012,All Other Contracts Under $2M Annually
GS00F0028Y,TIRNO15Z000150016,All Other Contracts Under $2M Annually
GS00F0039N,2031JW18F00195,All Other Contracts Under $2M Annually
GS00F004AA,2031JW18F00210,All Other Contracts Under $2M Annually
GS00F006DA,TIRNO16Z000150002,Affordable Care Act Implementation
GS00F006DA,TIRNO16Z000150003,Affordable Care Act Implementation
GS00F006DA,TIRNO16Z000150004,Affordable Care Act Implementation
GS00F006DA,TIRNO17Z000020001,CYRBYME-C Services and Enforcement Project Management
GS00F006DA,TIRNO17Z000020002,CYRBYME-C Services and Enforcement Project Management
GS00F006DA,TIRNO17Z000020003,Business Level  Oversight and Program Management Support to the Enterprise Case Management (ECM) Business Program Management Office (BPMO)
GS00F008DA,TIRNO15Z000110003,All Other Contracts Under $2M Annually
GS00F008DA,TIRNO15Z000110004,All Other Contracts Under $2M Annually
GS00F008DA,TIRNO15Z000110010,Enterprise Case Management (ECM) Support
GS00F008DA,TIRNO15Z000110011,All Other Contracts Under $2M Annually
GS00F008DA,TIRNO15Z000110012,All Other Contracts Under $2M Annually
GS00F008DA,TIRNO15Z000110013,All Other Contracts Under $2M Annually
GS00F008DA,TIRNO15Z000110014,All Other Contracts Under $2M Annually
GS00F008DA,TIRNO15Z000110015,All Other Contracts Under $2M Annually
GS00F010CA,TIRNO17Z000070001,All Other Contracts Under $2M Annually
GS00F012BA,TIRNO15Z000170001,All Other Contracts Under $2M Annually
GS00F029DA,TFSAFSA17K0061,All Other Contracts Under $2M Annually
GS00F096DA,2032H518F01242,All Other Contracts Under $2M Annually
GS00F096DA,TIRNO17T00025,All Other Contracts Under $2M Annually
GS00F096DA,TIRNO17T00028,Fraud Analytics and Insider Threat Detection
GS00F096DA,TIRNO17T00069,All Other Contracts Under $2M Annually
GS00F101CA,20340618F00024,All Other Contracts Under $2M Annually
GS00F117CA,TDOX15F0042,All Other Contracts Under $2M Annually
GS00F143CA,TDOX17F0011,All Other Contracts Under $2M Annually
GS00F189CA,TIRNO15Z000290005,All Other Contracts Under $2M Annually
GS00F279GA,20341118F00050,All Other Contracts Under $2M Annually
GS00Q09BGD0005,2032H518F01321,International Information Processing & Exchange
GS00Q09BGD0015,TIRNO16T00020,Tax Payer Digital Communications
GS00Q09BGD0018,TFSAFSA17K0067,All Other Contracts Under $2M Annually
GS00Q09BGD0019,2032H518F00400,CI Forensic Assistance Pilot Expansion
GS00Q09BGD0019,2032H518F01163,Enterprise Archictecture Core Support Services
GS00Q09BGD0019,TPDTTB12K00027,TTB IT Program Management Services
GS00Q09BGD0034,TFSACDF15K0005,All Other Contracts Under $2M Annually
GS00Q09BGD0039,2032H518F00560,Computer Assisted Publishing System (CAPS) Support
GS00Q09BGD0050,TPDOIT13K0101,All Other Contracts Under $2M Annually
GS00Q09BGD0056,2032H518F00749,HR Connect Operations and Maintenance Support
GS00Q09BGD0060,TIRNO12Z000160002,Enterprise Storage Acquisition (ESA)
GS00Q11AEA0005,TDOXOFR15F0007,All Other Contracts Under $2M Annually
GS00Q14OADS130,TIRNO16T00024,All Other Contracts Under $2M Annually
GS00Q14OADU101,2032H518F00991,Support to the Enterprise Case Management (ECM) Business Program Management Office (BPMO)
GS00Q14OADU113,2032H518F00765,Compliance and Data Analytics Support Services
GS00Q17GWD2004,2031ZA18F00081,All Other Contracts Under $2M Annually
GS00Q17GWD2062,TIRNO17T00118,All Other Contracts Under $2M Annually
GS00Q17GWD2107,2032H518F01275,All Other Contracts Under $2M Annually
GS00Q17GWD2107,20340618F00015,All Other Contracts Under $2M Annually
GS00Q17GWD2184,2032H518F00547,All Other Contracts Under $2M Annually
GS00Q17GWD2184,TIRNO17T00070,All Other Contracts Under $2M Annually
GS00Q17GWD2262,2032H518F01003,WebMethods Professional Support Services
GS00Q17GWD2288,2032H518F01193,All Other Contracts Under $2M Annually
GS00Q17GWD2419,2032H518F01097,All Other Contracts Under $2M Annually
GS00Q17GWD2419,2032H818F00286,All Other Contracts Under $2M Annually
GS00Q17GWD2457,TIRNO17T00084,E-Records Solution Support
GS00Q17GWD2457S,2032H518F01155,E-Records Solution Support
GS03F0154V,2031JW18F00044,All Other Contracts Under $2M Annually
GS03F0154V,2031JW18F00087,All Other Contracts Under $2M Annually
GS03F0154V,2031JW18F00095,All Other Contracts Under $2M Annually
GS03F0154V,2031JW18F00102,All Other Contracts Under $2M Annually
GS03F0154V,2031JW18F00110,All Other Contracts Under $2M Annually
GS03F0154V,2031JW18F00118,All Other Contracts Under $2M Annually
GS03F0154V,2031JW18F00140,All Other Contracts Under $2M Annually
GS03F0154V,2031JW18F00158,All Other Contracts Under $2M Annually
GS03F0154V,2031JW18F00159,All Other Contracts Under $2M Annually
GS03F0154V,2031JW18F00181,All Other Contracts Under $2M Annually
GS03F0154V,2031JW18F00234,All Other Contracts Under $2M Annually
GS03F0154V,2031JW18F00269,All Other Contracts Under $2M Annually
GS03F0154V,2031JW18F00283,All Other Contracts Under $2M Annually
GS03F0154V,2031JW18F00294,All Other Contracts Under $2M Annually
GS03F0154V,TCC17HQG0052,All Other Contracts Under $2M Annually
GS03F0154V,TCC17HQG0086,All Other Contracts Under $2M Annually
GS03F0154V,TCC17HQG0119,All Other Contracts Under $2M Annually
GS03F0154V,TCC17HQG0130,All Other Contracts Under $2M Annually
GS03F0154V,TCC17HQG0154,All Other Contracts Under $2M Annually
GS03F0154V,TCC17HQG0161,All Other Contracts Under $2M Annually
GS03F0154V,TCC17HQG0165,All Other Contracts Under $2M Annually
GS03F0154V,TCC17HQG0168,All Other Contracts Under $2M Annually
GS03F0154V,TCC17HQG0199,All Other Contracts Under $2M Annually
GS06F0595Z,2032H518F01154,All Other Contracts Under $2M Annually
GS06F0595Z,2032H518F01173,All Other Contracts Under $2M Annually
GS06F0595Z,2032H518F01185,All Other Contracts Under $2M Annually
GS06F0596Z,2032H518F01157,All Other Contracts Under $2M Annually
GS06F0596Z,2032H518F01255,All Other Contracts Under $2M Annually
GS06F0618Z,2032H518F01013,All Other Contracts Under $2M Annually
GS06F0624Z,TPDTTB13K0013,TTB IT Support Services
GS06F0625Z,2032H518F01239,Information Technology Wide Support Services (Consolidated Effort)
GS06F0650Z,2032H518F00612,Support Services to the Treasury Foreign Intelligence Network (TFIN)
GS06F0650Z,2032H518F01123,Penetration and Application Security Testing
GS06F0652Z,2032H518F01072,All Other Contracts Under $2M Annually
GS06F0669Z,20341418F00068,All Other Contracts Under $2M Annually
GS06F0671Z,TEPV1534630,All Other Contracts Under $2M Annually
GS06F0671Z,TIRNO15T00017,All Other Contracts Under $2M Annually
GS06F0678Z,TCC12HQG0204,All Other Contracts Under $2M Annually
GS06F0678Z,TPDFIN13K0013,All Other Contracts Under $2M Annually
GS06F0682Z,TEPV1634664,CYRBYME-C Support
GS06F0684Z,TIRNO15T00065,All Other Contracts Under $2M Annually
GS06F0684Z,TIRNO17T00026,Convergence Site Deployment Support
GS06F0689Z,2032H518F00242,All Other Contracts Under $2M Annually
GS06F0689Z,TIRNO15T00061,All Other Contracts Under $2M Annually
GS06F0694Z,TCC12HQG0224,All Other Contracts Under $2M Annually
GS06F0699Z,TEPV1534619,All Other Contracts Under $2M Annually
GS06F0711Z,TCC17HQG0063,Service Desk Support Services
GS06F0713Z,TIRNO16K00044,All Other Contracts Under $2M Annually
GS06F0721Z,TIRNO15T00027,All Other Contracts Under $2M Annually
GS06F0723Z,TOSOFR14D00060002,All Other Contracts Under $2M Annually
GS06F0723Z,TOSOFR14D00060003,All Other Contracts Under $2M Annually
GS06F0723Z,TOSOFR14D00060005,All Other Contracts Under $2M Annually
GS06F0723Z,TOSOFR14D00060007,All Other Contracts Under $2M Annually
GS06F0773Z,TIRNO16T00085,EBSD Managed Services
GS06F0779Z,2031ZA17F00265,All Other Contracts Under $2M Annually
GS06F0779Z,TEPV1514314,All Other Contracts Under $2M Annually
GS06F0779Z,TEPV1534624,All Other Contracts Under $2M Annually
GS06F0849Z,TIRNO16T00006,All Other Contracts Under $2M Annually
GS06F0884Z,TIRNO16T00070,All Other Contracts Under $2M Annually
GS06F0885Z,TFSAISS16K0058,All Other Contracts Under $2M Annually
GS06F0885Z,TFSAISS17K0052,All Other Contracts Under $2M Annually
GS06F0885Z,TFSAOIT15K0051,All Other Contracts Under $2M Annually
GS06F0912Z,TIRNO16T00057,All Other Contracts Under $2M Annually
GS06F0937Z,2032H518F00152,Continuous Diagnostics and Mitigation (CDM) Program Support
GS06F0937Z,TIRNO14T00071,All Other Contracts Under $2M Annually
GS06F0937Z,TIRNO16T00074,"IT Cybersecurity Project Planning, Investments, and Governance (PPI-GOV) Program Support"
GS06F0955Z,2033H618F00276,All Other Contracts Under $2M Annually
GS06F0955Z,TFMSHQ13K0055,All Other Contracts Under $2M Annually
GS06F0955Z,TFSAFSA16K0078,All Other Contracts Under $2M Annually
GS06F0987Z,TIRNO15T00097,All Other Contracts Under $2M Annually
GS06F0987Z,TIRNO17T00068,All Other Contracts Under $2M Annually
GS06F1018Z,TIRNO17T00036,All Other Contracts Under $2M Annually
GS06F1022Z,TIRNO16T00044,All Other Contracts Under $2M Annually
GS06F1022Z,TIRNO16T00047,Oracle Support Services
GS06F1022Z,TIRNO16T00055,All Other Contracts Under $2M Annually
GS06F1045Z,2031ZA18F00265,All Other Contracts Under $2M Annually
GS06F1045Z,TCC17HQG0070,All Other Contracts Under $2M Annually
GS06F1045Z,TIRNO16T00009,All Other Contracts Under $2M Annually
GS06F1083Z,TFSAARC17K0005,ONESTREAM XF Cloud Financial Reporting Tool
GS06F1100Z,TFSAISS17K0040,All Other Contracts Under $2M Annually
GS06F1116Z,TIRNO16T00018,All Other Contracts Under $2M Annually
GS06F1118Z,2033H618F00262,All Other Contracts Under $2M Annually
GS06F1139Z,GSQ0414BE0017,All Other Contracts Under $2M Annually
GS06F1159Z,TIRNO17T00095,All Other Contracts Under $2M Annually
GS06F1191Z,TOIGOIG15F0012,All Other Contracts Under $2M Annually
GS06F1193Z,TEPV1634633,All Other Contracts Under $2M Annually
GS06F1197Z,TFSATGT16K0047,All Other Contracts Under $2M Annually
GS06F1200Z,TFSATTB14K0054,All Other Contracts Under $2M Annually
GS06F1202Z,TCC17HQG0095,All Other Contracts Under $2M Annually
GS06F1227Z,TCC13HQG0022,All Other Contracts Under $2M Annually
GS06F1248Z,TIRNO16T00035,All Other Contracts Under $2M Annually
GS06F1248Z,TIRNO16T00048,All Other Contracts Under $2M Annually
GS10F0035K,2032H818F00255,All Other Contracts Under $2M Annually
GS10F0059K,TCC17HQG0142,All Other Contracts Under $2M Annually
GS10F0062R,TOFS17G0002,All Other Contracts Under $2M Annually
GS10F0083L,TIRNO15T00033,All Other Contracts Under $2M Annually
GS10F0090J,TOIGOIG13F0028,All Other Contracts Under $2M Annually
GS10F0118S,TIRNO15Z000240001,All Other Contracts Under $2M Annually
GS10F0118S,TIRNO15Z000240002,All Other Contracts Under $2M Annually
GS10F0151P,2031JW18F00030,All Other Contracts Under $2M Annually
GS10F0157Y,TDOX14F0047,All Other Contracts Under $2M Annually
GS10F0176N,TIRNO13T00031,Common Communications Gateway Convergence and Engineering Support
GS10F0189T,TIRNO11K00156,All Other Contracts Under $2M Annually
GS10F0189T,TIRNO12K00583,All Other Contracts Under $2M Annually
GS10F0189T,TIRNO14T00064,All Other Contracts Under $2M Annually
GS10F0189T,TIRNO15T00082,All Other Contracts Under $2M Annually
GS10F0189T,TIRNO15T00111,IRS CONVERGENCE IV&V and Site Deployment Support Services and Spending Database Development
GS10F0195U,2033H618F00028,All Other Contracts Under $2M Annually
GS10F0195U,TFSAFSA17K0074,All Other Contracts Under $2M Annually
GS10F0195U,TFSAFSA17K0074A,All Other Contracts Under $2M Annually
GS10F0362P,TIRNO14K00189,All Other Contracts Under $2M Annually
GS10F0424X,2032H818F00300,Acquisition Support Services
GS10F0445X,TIRNO14K00383,All Other Contracts Under $2M Annually
GS10F0445X,TIRNO16Z000060001,All Other Contracts Under $2M Annually
GS10F0445X,TIRNO16Z000060003,All Other Contracts Under $2M Annually
GS10F0445X,TIRNO16Z000060004,All Other Contracts Under $2M Annually
GS10F0466N,TIRNO15Z000180002,Enterprise Risk Management
GS10F0608N,TIRNO10Z000150003,All Other Contracts Under $2M Annually
GS10F0608N,TIRNO10Z000150004,All Other Contracts Under $2M Annually
GS10F0608N,TIRNO10Z000150005,All Other Contracts Under $2M Annually
GS10F0608N,TIRNO10Z000150007,All Other Contracts Under $2M Annually
GS10F0608N,TIRNO10Z000150008,All Other Contracts Under $2M Annually
GS10F0608N,TIRNO10Z000150009,All Other Contracts Under $2M Annually
GS10F0608N,TIRNO10Z000150010,All Other Contracts Under $2M Annually
GS10F0608N,TIRNO10Z000150011,All Other Contracts Under $2M Annually
GS10F0608N,TIRNO10Z000150012,All Other Contracts Under $2M Annually
GS10F0608N,TIRNO10Z000150013,All Other Contracts Under $2M Annually
GS10F0608N,TIRNO15K00314,All Other Contracts Under $2M Annually
GS23F0177S,TFSACDF15K0006,All Other Contracts Under $2M Annually
GS23F8144H,TIRNO15Z000320004,All Other Contracts Under $2M Annually
GS23F8144H,TIRNO15Z000320007,All Other Contracts Under $2M Annually
GS23F8144H,TIRNO15Z000320008,All Other Contracts Under $2M Annually
GS23F8144H,TIRNO15Z000320010,All Other Contracts Under $2M Annually
GS23F8144H,TIRNO15Z000320011,All Other Contracts Under $2M Annually
GS23F8144H,TIRNO15Z000320014,All Other Contracts Under $2M Annually
GS23F8144H,TIRNO15Z000320015,All Other Contracts Under $2M Annually
GS23F8144H,TIRNO15Z000320016,All Other Contracts Under $2M Annually
GS23F8144H,TIRNO15Z000320017,All Other Contracts Under $2M Annually
GS23F8144H,TIRNO15Z000320018,All Other Contracts Under $2M Annually
GS23F8182H,TIRNO15Z000030004,All Other Contracts Under $2M Annually
GS23F9755H,TFSAFSA14K0078,All Other Contracts Under $2M Annually
GS23F9755H,TIRNO15Z000110006,All Other Contracts Under $2M Annually
GS23F9755H,TIRNO15Z000110007,All Other Contracts Under $2M Annually
GS23F9755H,TIRNO15Z000110010,ECM Support
GS23F9755H,TIRNO15Z000110011,All Other Contracts Under $2M Annually
GS23F9755H,TIRNO16K00547,All Other Contracts Under $2M Annually
GS23F9763H,TFSAFSA14K0056,Customer Discovery Implementation and Related Support Services (CDISS)
GS23F9782H,TIRNO15Z000300001,All Other Contracts Under $2M Annually
GS23F9782H,TIRNO15Z000300002,All Other Contracts Under $2M Annually
GS23F9782H,TIRNO15Z000300005,All Other Contracts Under $2M Annually
GS23F9782H,TIRSE16Z000020001,All Other Contracts Under $2M Annually
GS23F9782H,TIRSE16Z000020002,All Other Contracts Under $2M Annually
GS25F0004P,TIRNO17T00073,SAAS e-Discovery
GS33F0007U,TIRNO16T00062,All Other Contracts Under $2M Annually
GS35F0020X,TIRNO15Z000360005,All Other Contracts Under $2M Annually
GS35F0020X,TIRNO15Z000360006,Visualization Services for FATCA
GS35F0020X,TIRNO15Z000360007,All Other Contracts Under $2M Annually
GS35F0052P,TPDCDF13K0005,All Other Contracts Under $2M Annually
GS35F0073T,TCC16HQG0060,IT Policy and Governance Program Office Support Services
GS35F0111T,TIRNO10T00044,All Other Contracts Under $2M Annually
GS35F0119P,TIRNO09Z000020042,All Other Contracts Under $2M Annually
GS35F0119P,TIRNO09Z000020049,All Other Contracts Under $2M Annually
GS35F0119P,TIRNO09Z000020053,All Other Contracts Under $2M Annually
GS35F0119P,TIRNO09Z000020058,All Other Contracts Under $2M Annually
GS35F0131R,TIRNO10K00274,All Other Contracts Under $2M Annually
GS35F0135S,TFMSHQ11K0005,All Other Contracts Under $2M Annually
GS35F0136N,2032H518F00272,All Other Contracts Under $2M Annually
GS35F0136N,TIRNO13Z000060013,All Other Contracts Under $2M Annually
GS35F0136N,TIRNO13Z000060014,All Other Contracts Under $2M Annually
GS35F0136N,TIRNO13Z000060015,All Other Contracts Under $2M Annually
GS35F0136N,TIRNO13Z000060016,All Other Contracts Under $2M Annually
GS35F0136N,TIRNO13Z000060017,All Other Contracts Under $2M Annually
GS35F0136N,TIRNO13Z000060018,All Other Contracts Under $2M Annually
GS35F0136N,TIRNO13Z000060019,All Other Contracts Under $2M Annually
GS35F0136N,TIRNO13Z000060020,All Other Contracts Under $2M Annually
GS35F0136N,TIRNO13Z000060021,All Other Contracts Under $2M Annually
GS35F0136N,TIRNO13Z000060022,All Other Contracts Under $2M Annually
GS35F0136N,TIRNO13Z000060023,All Other Contracts Under $2M Annually
GS35F0136N,TIRNO13Z000060024,All Other Contracts Under $2M Annually
GS35F0136N,TIRNO13Z000060025,All Other Contracts Under $2M Annually
GS35F0138J,TFMSHQ13K0039,All Other Contracts Under $2M Annually
GS35F0149N,TIRNO11K00214,All Other Contracts Under $2M Annually
GS35F0149N,TIRSE17K00005,All Other Contracts Under $2M Annually
GS35F0149N,TIRSE18K00006,All Other Contracts Under $2M Annually
GS35F0154X,TIRNO17T00101,Implementation of Identity Management Solutions
GS35F0161M,2031ZA17F00343,All Other Contracts Under $2M Annually
GS35F0161M,TEPV1314060,All Other Contracts Under $2M Annually
GS35F0165Y,TIRNO12Z000250005,All Other Contracts Under $2M Annually
GS35F017DA,TIRNO17T00066,Professional Services for ARCHER Development and Implementation
GS35F0181R,TIRNO17Z000040001,All Other Contracts Under $2M Annually
GS35F0193X,TIRNO12K00561,All Other Contracts Under $2M Annually
GS35F0193X,TIRNO15T00001,All Other Contracts Under $2M Annually
GS35F0193X,TIRNO17T00003,Work Request Management System (WRMS) and Integration/Maintenance of New IRS Components  into the HP PPM Environment
GS35F0211S,2032H818F00321,All Other Contracts Under $2M Annually
GS35F0211S,TIRNO14Z000110014,All Other Contracts Under $2M Annually
GS35F0211S,TIRNO14Z000110018,All Other Contracts Under $2M Annually
GS35F0211S,TIRNO14Z000110019,All Other Contracts Under $2M Annually
GS35F0211S,TIRNO14Z000110021,All Other Contracts Under $2M Annually
GS35F0231K,TIRNO13Z000130008,All Other Contracts Under $2M Annually
GS35F0231K,TIRNO13Z000130010,All Other Contracts Under $2M Annually
GS35F0231K,TIRNO13Z000130011,All Other Contracts Under $2M Annually
GS35F0231K,TIRNO13Z000130012,All Other Contracts Under $2M Annually
GS35F0234W,2032H518F00019,All Other Contracts Under $2M Annually
GS35F0234W,TIRNO12K00039,All Other Contracts Under $2M Annually
GS35F0234W,TIRNO13Z000160003,All Other Contracts Under $2M Annually
GS35F0234W,TIRNO13Z000160004,All Other Contracts Under $2M Annually
GS35F0234W,TIRNO13Z000160005,All Other Contracts Under $2M Annually
GS35F0234W,TIRNO13Z000160006,All Other Contracts Under $2M Annually
GS35F0235U,2032H518F01256,IT and Financial Management Support Services (ITFMSS)
GS35F0235U,2032H518F01259,All Other Contracts Under $2M Annually
GS35F0235U,2032H518F01260,All Other Contracts Under $2M Annually
GS35F0235U,2032H518F01261,All Other Contracts Under $2M Annually
GS35F0256P,TCC14HQG0052,All Other Contracts Under $2M Annually
GS35F0265X,TIRMS15K00034,All Other Contracts Under $2M Annually
GS35F0265X,TIRMS17K00060,All Other Contracts Under $2M Annually
GS35F0273L,TIRNO10Z000240024,All Other Contracts Under $2M Annually
GS35F0273L,TIRNO10Z000240033,All Other Contracts Under $2M Annually
GS35F0273L,TIRNO10Z000240034,All Other Contracts Under $2M Annually
GS35F0273L,TIRNO10Z000240035,MS Preimier Support
GS35F0273L,TIRNO10Z000240036,All Other Contracts Under $2M Annually
GS35F0273L,TIRNO12Z000090002,All Other Contracts Under $2M Annually
GS35F0273L,TIRNO12Z000090004,All Other Contracts Under $2M Annually
GS35F0273L,TIRNO12Z000090005,All Other Contracts Under $2M Annually
GS35F0273L,TIRNO17K00147,EEU Microsoft Support
GS35F0273L,TIRNO17K00150,All Other Contracts Under $2M Annually
GS35F0273L,TIRNO17Z000250001,All Other Contracts Under $2M Annually
GS35F0273L,TIRNO17Z000250002,All Other Contracts Under $2M Annually
GS35F0273L,TIRNO17Z000250004,All Other Contracts Under $2M Annually
GS35F0273L,TIRNO17Z000250005,All Other Contracts Under $2M Annually
GS35F0273L,TIRNO17Z000250007,All Other Contracts Under $2M Annually
GS35F0273L,TIRNO17Z000250008,All Other Contracts Under $2M Annually
GS35F0273L,TIRNO17Z000250009,All Other Contracts Under $2M Annually
GS35F0273L,TIRNO17Z000250010,All Other Contracts Under $2M Annually
GS35F0273L,TIRNO17Z000250011,All Other Contracts Under $2M Annually
GS35F0278W,TFSATGT16K0008,All Other Contracts Under $2M Annually
GS35F0281U,TIRNO17T00078,Issue Management System Support
GS35F0297K,TIRNO10Z000220033,All Other Contracts Under $2M Annually
GS35F0297K,TIRNO16K00068,All Other Contracts Under $2M Annually
GS35F0297K,TIRNO17T00041,All Other Contracts Under $2M Annually
GS35F0300M,TIRNO15T00005,All Other Contracts Under $2M Annually
GS35F0311R,TIRNO17K00138,All Other Contracts Under $2M Annually
GS35F0320T,2032H518F00890,All Other Contracts Under $2M Annually
GS35F0320T,TFSATGT17K0066,All Other Contracts Under $2M Annually
GS35F0320T,TIRNO13T00054,All Other Contracts Under $2M Annually
GS35F0337U,2032H518F00955,All Other Contracts Under $2M Annually
GS35F0343Y,TIRNO14T00094,All Other Contracts Under $2M Annually
GS35F0362J,TIRNO13Z000070001,All Other Contracts Under $2M Annually
GS35F0362J,TIRNO13Z000070004,All Other Contracts Under $2M Annually
GS35F0362J,TIRNO13Z000070016,All Other Contracts Under $2M Annually
GS35F0362J,TIRNO13Z000070018,All Other Contracts Under $2M Annually
GS35F0362J,TIRNO13Z000070022,All Other Contracts Under $2M Annually
GS35F0362J,TIRNO13Z000070024,All Other Contracts Under $2M Annually
GS35F0362J,TIRNO13Z000070028,All Other Contracts Under $2M Annually
GS35F0362J,TIRNO13Z000070030,All Other Contracts Under $2M Annually
GS35F0362J,TIRNO13Z000070034,All Other Contracts Under $2M Annually
GS35F0362J,TIRNO13Z000070036,All Other Contracts Under $2M Annually
GS35F0362J,TIRNO13Z000070043,All Other Contracts Under $2M Annually
GS35F0362J,TIRNO13Z000070044,All Other Contracts Under $2M Annually
GS35F0362J,TIRNO13Z000070046,All Other Contracts Under $2M Annually
GS35F0362J,TIRNO13Z000070047,All Other Contracts Under $2M Annually
